Bin  # ,minE,maxE,numu,anti-numu,nue,anti-nue
1, 0.00, 0.01, 8.46e02, 8.69e02, 9.31e00, 2.29e00
2, 0.01, 0.02, 5.03e03, 5.77e03, 5.67e01, 1.12e01
3, 0.02, 0.03, 1.12e04, 1.39e04, 1.39e02, 2.58e01
4, 0.03, 0.04, 1.85e04, 2.41e04, 2.61e02, 4.25e01
5, 0.04, 0.05, 2.61e04, 3.53e04, 4.07e02, 6.15e01
6, 0.05, 0.06, 3.33e04, 4.71e04, 5.78e02, 8.04e01
7, 0.06, 0.07, 4.08e04, 5.47e04, 7.75e02, 1.02e02
8, 0.07, 0.08, 4.87e04, 5.56e04, 9.75e02, 1.19e02
9, 0.08, 0.09, 6.18e04, 5.29e04, 1.19e03, 1.37e02
10, 0.09, 0.10, 8.06e04, 4.98e04, 1.41e03, 1.56e02
11, 0.10, 0.11, 8.82e04, 4.54e04, 1.65e03, 1.72e02
12, 0.11, 0.12, 9.67e04, 4.17e04, 1.88e03, 1.88e02
13, 0.12, 0.13, 1.06e05, 3.78e04, 2.10e03, 2.05e02
14, 0.13, 0.14, 1.16e05, 3.47e04, 2.33e03, 2.21e02
15, 0.14, 0.15, 1.28e05, 3.30e04, 2.53e03, 2.37e02
16, 0.15, 0.16, 1.39e05, 3.13e04, 2.76e03, 2.53e02
17, 0.16, 0.17, 1.51e05, 3.02e04, 2.95e03, 2.66e02
18, 0.17, 0.18, 1.65e05, 2.98e04, 3.15e03, 2.78e02
19, 0.18, 0.19, 1.81e05, 2.96e04, 3.31e03, 2.94e02
20, 0.19, 0.20, 1.97e05, 2.87e04, 3.49e03, 3.06e02
21, 0.20, 0.21, 2.14e05, 2.89e04, 3.65e03, 3.20e02
22, 0.21, 0.22, 2.35e05, 2.85e04, 3.83e03, 3.29e02
23, 0.22, 0.23, 2.53e05, 2.80e04, 3.95e03, 3.49e02
24, 0.23, 0.24, 2.74e05, 2.74e04, 4.10e03, 3.59e02
25, 0.24, 0.25, 2.94e05, 2.74e04, 4.25e03, 3.67e02
26, 0.25, 0.26, 3.17e05, 2.71e04, 4.41e03, 3.75e02
27, 0.26, 0.27, 3.40e05, 2.78e04, 4.50e03, 3.91e02
28, 0.27, 0.28, 3.63e05, 2.74e04, 4.61e03, 3.98e02
29, 0.28, 0.29, 3.88e05, 2.73e04, 4.73e03, 4.16e02
30, 0.29, 0.30, 4.07e05, 2.78e04, 4.83e03, 4.21e02
31, 0.30, 0.31, 4.32e05, 2.73e04, 4.94e03, 4.32e02
32, 0.31, 0.32, 4.52e05, 2.73e04, 5.05e03, 4.44e02
33, 0.32, 0.33, 4.73e05, 2.81e04, 5.10e03, 4.43e02
34, 0.33, 0.34, 4.94e05, 2.81e04, 5.17e03, 4.59e02
35, 0.34, 0.35, 5.16e05, 2.81e04, 5.23e03, 4.63e02
36, 0.35, 0.36, 5.38e05, 2.82e04, 5.30e03, 4.72e02
37, 0.36, 0.37, 5.60e05, 2.81e04, 5.37e03, 4.81e02
38, 0.37, 0.38, 5.85e05, 2.93e04, 5.44e03, 4.85e02
39, 0.38, 0.39, 6.07e05, 2.80e04, 5.47e03, 4.90e02
40, 0.39, 0.40, 6.28e05, 2.93e04, 5.54e03, 4.93e02
41, 0.40, 0.41, 6.58e05, 2.96e04, 5.51e03, 4.95e02
42, 0.41, 0.42, 6.79e05, 3.01e04, 5.57e03, 5.06e02
43, 0.42, 0.43, 7.09e05, 2.93e04, 5.61e03, 5.06e02
44, 0.43, 0.44, 7.38e05, 2.93e04, 5.61e03, 5.11e02
45, 0.44, 0.45, 7.72e05, 2.95e04, 5.62e03, 5.07e02
46, 0.45, 0.46, 8.04e05, 2.91e04, 5.62e03, 5.14e02
47, 0.46, 0.47, 8.43e05, 2.92e04, 5.60e03, 5.16e02
48, 0.47, 0.48, 8.82e05, 2.89e04, 5.67e03, 5.22e02
49, 0.48, 0.49, 9.26e05, 2.94e04, 5.62e03, 5.18e02
50, 0.49, 0.50, 9.65e05, 2.90e04, 5.61e03, 5.27e02
51, 0.50, 0.51, 1.01e06, 2.93e04, 5.70e03, 5.23e02
52, 0.51, 0.52, 1.06e06, 2.92e04, 5.57e03, 5.25e02
53, 0.52, 0.53, 1.10e06, 2.87e04, 5.59e03, 5.21e02
54, 0.53, 0.54, 1.14e06, 2.93e04, 5.56e03, 5.23e02
55, 0.54, 0.55, 1.17e06, 2.79e04, 5.50e03, 5.29e02
56, 0.55, 0.56, 1.19e06, 2.88e04, 5.50e03, 5.22e02
57, 0.56, 0.57, 1.21e06, 2.80e04, 5.44e03, 5.20e02
58, 0.57, 0.58, 1.21e06, 2.90e04, 5.42e03, 5.27e02
59, 0.58, 0.59, 1.22e06, 2.92e04, 5.35e03, 5.24e02
60, 0.59, 0.60, 1.21e06, 2.93e04, 5.33e03, 5.21e02
61, 0.60, 0.61, 1.21e06, 2.90e04, 5.29e03, 5.22e02
62, 0.61, 0.62, 1.20e06, 2.92e04, 5.23e03, 5.26e02
63, 0.62, 0.63, 1.21e06, 2.92e04, 5.19e03, 5.17e02
64, 0.63, 0.64, 1.20e06, 2.83e04, 5.16e03, 5.21e02
65, 0.64, 0.65, 1.19e06, 2.84e04, 5.12e03, 5.17e02
66, 0.65, 0.66, 1.18e06, 2.82e04, 4.99e03, 5.20e02
67, 0.66, 0.67, 1.15e06, 2.72e04, 4.99e03, 5.16e02
68, 0.67, 0.68, 1.11e06, 2.84e04, 4.92e03, 5.19e02
69, 0.68, 0.69, 1.07e06, 2.69e04, 4.89e03, 5.09e02
70, 0.69, 0.70, 1.02e06, 2.66e04, 4.86e03, 5.06e02
71, 0.70, 0.71, 9.60e05, 2.67e04, 4.79e03, 5.04e02
72, 0.71, 0.72, 9.03e05, 2.57e04, 4.70e03, 5.03e02
73, 0.72, 0.73, 8.41e05, 2.57e04, 4.67e03, 5.09e02
74, 0.73, 0.74, 7.84e05, 2.47e04, 4.59e03, 5.03e02
75, 0.74, 0.75, 7.27e05, 2.44e04, 4.56e03, 5.08e02
76, 0.75, 0.76, 6.76e05, 2.41e04, 4.49e03, 4.93e02
77, 0.76, 0.77, 6.25e05, 2.32e04, 4.38e03, 4.85e02
78, 0.77, 0.78, 5.74e05, 2.29e04, 4.37e03, 4.92e02
79, 0.78, 0.79, 5.26e05, 2.29e04, 4.24e03, 5.02e02
80, 0.79, 0.80, 4.85e05, 2.23e04, 4.21e03, 4.92e02
81, 0.80, 0.82, 4.24e05, 2.19e04, 4.09e03, 4.83e02
82, 0.82, 0.84, 3.57e05, 2.09e04, 4.01e03, 4.81e02
83, 0.84, 0.86, 2.99e05, 2.00e04, 3.85e03, 4.80e02
84, 0.86, 0.88, 2.53e05, 2.00e04, 3.72e03, 4.73e02
85, 0.88, 0.90, 2.17e05, 1.96e04, 3.59e03, 4.67e02
86, 0.90, 0.95, 1.73e05, 1.88e04, 3.40e03, 4.63e02
87, 0.95, 1.00, 1.31e05, 1.71e04, 3.11e03, 4.47e02
88, 1.00, 1.05, 1.06e05, 1.59e04, 2.82e03, 4.40e02
89, 1.05, 1.10, 8.86e04, 1.47e04, 2.56e03, 4.28e02
90, 1.10, 1.15, 7.51e04, 1.34e04, 2.32e03, 4.18e02
91, 1.15, 1.20, 6.50e04, 1.25e04, 2.16e03, 4.05e02
92, 1.20, 1.30, 5.32e04, 1.10e04, 1.89e03, 3.91e02
93, 1.30, 1.40, 4.28e04, 9.44e03, 1.65e03, 3.72e02
94, 1.40, 1.50, 3.54e04, 8.06e03, 1.48e03, 3.51e02
95, 1.50, 1.60, 2.96e04, 7.00e03, 1.37e03, 3.35e02
96, 1.60, 1.70, 2.55e04, 6.06e03, 1.27e03, 3.17e02
97, 1.70, 1.80, 2.28e04, 5.45e03, 1.20e03, 3.00e02
98, 1.80, 1.90, 2.00e04, 4.87e03, 1.14e03, 2.85e02
99, 1.90, 2.00, 1.80e04, 4.56e03, 1.09e03, 2.68e02
100, 2.00, 2.10, 1.61e04, 4.15e03, 1.03e03, 2.52e02
101, 2.10, 2.20, 1.49e04, 3.70e03, 9.89e02, 2.38e02
102, 2.20, 2.30, 1.37e04, 3.37e03, 9.46e02, 2.22e02
103, 2.30, 2.40, 1.28e04, 3.03e03, 8.98e02, 2.08e02
104, 2.40, 2.60, 1.18e04, 2.60e03, 8.29e02, 1.89e02
105, 2.60, 2.80, 1.09e04, 2.06e03, 7.43e02, 1.66e02
106, 2.80, 3.00, 1.02e04, 1.72e03, 6.50e02, 1.45e02
107, 3.00, 3.20, 9.76e03, 1.40e03, 5.68e02, 1.27e02
108, 3.20, 3.40, 9.32e03, 1.15e03, 4.90e02, 1.12e02
109, 3.40, 3.60, 9.08e03, 9.75e02, 4.19e02, 9.74e01
110, 3.60, 3.80, 8.76e03, 8.49e02, 3.50e02, 8.36e01
111, 3.80, 4.00, 8.45e03, 7.07e02, 3.00e02, 7.45e01
112, 4.00, 4.50, 7.65e03, 5.59e02, 2.21e02, 5.78e01
113, 4.50, 5.00, 5.90e03, 4.09e02, 1.44e02, 4.04e01
114, 5.00, 6.00, 3.42e03, 2.57e02, 8.08e01, 2.48e01
115, 6.00, 7.00, 1.82e03, 1.39e02, 3.73e01, 1.25e01
116, 7.00, 8.00, 1.02e03, 8.11e01, 1.76e01, 6.37e00
117, 8.00, 9.00, 5.65e02, 4.51e01, 8.38e00, 3.23e00
118, 9.00, 10.00, 3.10e02, 2.59e01, 3.86e00, 1.56e00
119, 10.00, 11.00, 1.70e02, 1.34e01, 1.94e00, 8.12e-01
120, 11.00, 12.00, 9.75e01, 6.98e00, 9.40e-01, 4.26e-01
121, 12.00, 13.00, 5.73e01, 3.42e00, 4.34e-01, 2.15e-01
122, 13.00, 14.00, 2.94e01, 2.12e00, 1.92e-01, 7.64e-02
123, 14.00, 15.00, 1.56e01, 1.86e00, 9.63e-02, 6.19e-02
124, 15.00, 16.00, 8.33e00, 1.32e00, 5.25e-02, 2.64e-02
125, 16.00, 17.00, 5.08e00, 4.76e-01, 3.67e-02, 1.95e-02
126, 17.00, 18.00, 2.50e00, 4.79e-01, 1.40e-02, 9.75e-03
127, 18.00, 19.00, 1.29e00, 9.68e-02, 9.18e-04, 0.00e00
128, 19.00, 20.00, 6.99e-01, 1.49e-02, 5.91e-05, 1.09e-04
129, 20.00, 21.00, 8.05e-02, 6.23e-02, 1.78e-05, 1.32e-05
130, 21.00, 22.00, 2.29e-02, 0.00e00, 0.00e00, 5.17e-07
131, 22.00, 23.00, 1.78e-03, 0.00e00, 0.00e00, 0.00e00
132, 23.00, 24.00, 1.28e-02, 0.00e00, 0.00e00, 0.00e00
133, 24.00, 25.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
134, 25.00, 26.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
135, 26.00, 27.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
136, 27.00, 28.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
137, 28.00, 29.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
138, 29.00, 30.00, 0.00e00, 0.00e00, 0.00e00, 0.00e00
